 ./CARDS/YoungORCA_Vs_Vp_Rho_lsqr_kernel_bs1000_smLVZdQdz_disc                    ref per =  -1.0 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
    88   1700000.0    11879.89    10055.57    10055.57        0.00        0.00     1.00000   999999.00   999999.00
    89   1720000.0    11866.04    10041.79    10041.79        0.00        0.00     1.00000   999999.00   999999.00
    90   1740000.0    11852.02    10027.88    10027.88        0.00        0.00     1.00000   999999.00   999999.00
    91   1760000.0    11837.84    10013.84    10013.84        0.00        0.00     1.00000   999999.00   999999.00
    92   1780000.0    11823.50     9999.68     9999.68        0.00        0.00     1.00000   999999.00   999999.00
    93   1800000.0    11809.00     9985.39     9985.39        0.00        0.00     1.00000   999999.00   999999.00
    94   1820000.0    11794.33     9970.97     9970.97        0.00        0.00     1.00000   999999.00   999999.00
    95   1840000.0    11779.50     9956.42     9956.42        0.00        0.00     1.00000   999999.00   999999.00
    96   1860000.0    11764.50     9941.72     9941.72        0.00        0.00     1.00000   999999.00   999999.00
    97   1880000.0    11749.34     9926.89     9926.89        0.00        0.00     1.00000   999999.00   999999.00
    98   1900000.0    11734.01     9911.91     9911.91        0.00        0.00     1.00000   999999.00   999999.00
    99   1920000.0    11718.50     9896.79     9896.79        0.00        0.00     1.00000   999999.00   999999.00
   100   1940000.0    11702.83     9881.53     9881.53        0.00        0.00     1.00000   999999.00   999999.00
   101   1960000.0    11686.99     9866.11     9866.11        0.00        0.00     1.00000   999999.00   999999.00
   102   1980000.0    11670.97     9850.54     9850.54        0.00        0.00     1.00000   999999.00   999999.00
   103   2000000.0    11654.78     9834.82     9834.82        0.00        0.00     1.00000   999999.00   999999.00
   104   2020000.0    11638.41     9818.93     9818.93        0.00        0.00     1.00000   999999.00   999999.00
   105   2040000.0    11621.87     9802.89     9802.89        0.00        0.00     1.00000   999999.00   999999.00
   106   2060000.0    11605.16     9786.69     9786.69        0.00        0.00     1.00000   999999.00   999999.00
   107   2080000.0    11588.26     9770.32     9770.32        0.00        0.00     1.00000   999999.00   999999.00
   108   2100000.0    11571.19     9753.79     9753.79        0.00        0.00     1.00000   999999.00   999999.00
   109   2120000.0    11553.94     9737.08     9737.08        0.00        0.00     1.00000   999999.00   999999.00
   110   2140000.0    11536.50     9720.20     9720.20        0.00        0.00     1.00000   999999.00   999999.00
   111   2160000.0    11518.89     9703.15     9703.15        0.00        0.00     1.00000   999999.00   999999.00
   112   2180000.0    11501.09     9685.92     9685.92        0.00        0.00     1.00000   999999.00   999999.00
   113   2200000.0    11483.11     9668.51     9668.51        0.00        0.00     1.00000   999999.00   999999.00
   114   2220000.0    11464.95     9650.92     9650.92        0.00        0.00     1.00000   999999.00   999999.00
   115   2240000.0    11446.60     9633.14     9633.14        0.00        0.00     1.00000   999999.00   999999.00
   116   2260000.0    11428.06     9615.17     9615.17        0.00        0.00     1.00000   999999.00   999999.00
   117   2280000.0    11409.33     9597.02     9597.02        0.00        0.00     1.00000   999999.00   999999.00
   118   2300000.0    11390.42     9578.67     9578.67        0.00        0.00     1.00000   999999.00   999999.00
   119   2320000.0    11371.32     9560.13     9560.13        0.00        0.00     1.00000   999999.00   999999.00
   120   2340000.0    11352.02     9541.38     9541.38        0.00        0.00     1.00000   999999.00   999999.00
   121   2360000.0    11332.54     9522.44     9522.44        0.00        0.00     1.00000   999999.00   999999.00
   122   2380000.0    11312.86     9503.30     9503.30        0.00        0.00     1.00000   999999.00   999999.00
   123   2400000.0    11292.98     9483.95     9483.95        0.00        0.00     1.00000   999999.00   999999.00
   124   2420000.0    11272.92     9464.40     9464.40        0.00        0.00     1.00000   999999.00   999999.00
   125   2440000.0    11252.65     9444.63     9444.63        0.00        0.00     1.00000   999999.00   999999.00
   126   2460000.0    11232.19     9424.65     9424.65        0.00        0.00     1.00000   999999.00   999999.00
   127   2480000.0    11211.53     9404.46     9404.46        0.00        0.00     1.00000   999999.00   999999.00
   128   2500000.0    11190.67     9384.04     9384.04        0.00        0.00     1.00000   999999.00   999999.00
   129   2520000.0    11169.61     9363.41     9363.41        0.00        0.00     1.00000   999999.00   999999.00
   130   2540000.0    11148.35     9342.56     9342.56        0.00        0.00     1.00000   999999.00   999999.00
   131   2560000.0    11126.89     9321.48     9321.48        0.00        0.00     1.00000   999999.00   999999.00
   132   2580000.0    11105.23     9300.17     9300.17        0.00        0.00     1.00000   999999.00   999999.00
   133   2600000.0    11083.36     9278.63     9278.63        0.00        0.00     1.00000   999999.00   999999.00
   134   2620000.0    11061.29     9256.86     9256.86        0.00        0.00     1.00000   999999.00   999999.00
   135   2640000.0    11039.01     9234.85     9234.85        0.00        0.00     1.00000   999999.00   999999.00
